"Gene","log2FC","P.Value","adj.P.Val","n"
"ENSG00000156453",2.53396464085761,3.46351168592632e-20,6.96269754221769e-16,18
"ENSG00000257956",-4.80965483377869,2.58114427128314e-18,2.59443716428024e-14,18
"ENSG00000151572",0.945136476976898,1.58312981992361e-17,1.06085529233081e-13,18
"ENSG00000235559",-5.70356937640378,1.11807376188251e-14,5.61915920878105e-11,18
"ENSG00000166206",1.62379430626671,1.21748979234523e-13,4.89503945910324e-10,18
"ENSG00000226278",21.7899054618908,2.0053258835006e-13,6.71884437266877e-10,18
"ENSG00000272321",1.38072547378506,1.43771261580623e-09,3.84614837846855e-06,18
"ENSG00000132622",-3.90379747372845,1.53057688045309e-09,3.84614837846855e-06,18
"ENSG00000242779",1.43888309276094,8.8423244348108e-09,1.97508053458891e-05,18
"ENSG00000104722",-3.24130259174058,1.9785799074245e-08,3.97753918789547e-05,18
"ENSG00000134184",-7.27625591728062,1.06864110547605e-07,0.000185207218462775,18
"ENSG00000213058",7.6110896353641,1.10554972966885e-07,0.000185207218462775,18
"ENSG00000171617",-0.6832876767991,1.78579139927762e-07,0.000276152034612908,18
"ENSG00000234171",0.860814431796058,2.99225523559572e-07,0.000429666478579863,18
"ENSG00000101280",-1.90648589428399,3.49132323157905e-07,0.000452289793490097,18
"ENSG00000224237",-7.30149067773176,3.59977948358033e-07,0.000452289793490097,18
"ENSG00000227471",-1.30168029069348,4.60744530205799e-07,0.000544843958278069,18
"ENSG00000111335",-1.45989315518371,4.93652368579624e-07,0.000551327420308676,18
"ENSG00000087303",1.01998608116517,5.21924446561982e-07,0.000552223534170291,18
"ENSG00000175899",2.6632177304934,6.15535726710638e-07,0.000618705735703197,18
"ENSG00000113361",-3.48825760716725,1.38487614019832e-06,0.00132572214506699,18
"ENSG00000259363",-1.76114967643597,1.5614746927993e-06,0.00142683298860656,18
"ENSG00000173950",0.45335015549385,1.66797877639467e-06,0.0014300081279329,18
"ENSG00000175161",2.78719443148989,1.7072175829672e-06,0.0014300081279329,18
"ENSG00000189292",5.01434396734731,2.41673160400664e-06,0.00194334221741382,18
"ENSG00000106733",0.53601601725365,2.89043818056358e-06,0.00223486456707191,18
"ENSG00000184005",1.53180055681384,3.21364511387333e-06,0.00237623071149478,18
"ENSG00000140873",-2.74802985756389,3.38707324532194e-06,0.00237623071149478,18
"ENSG00000156486",1.0027049387785,3.4278809448017e-06,0.00237623071149478,18
"ENSG00000154330",2.28313605246136,3.69359907154878e-06,0.00247508073784484,18
"ENSG00000138758",0.529859473447523,4.07570508376099e-06,0.00259230404271411,18
"ENSG00000106688",1.12267469855952,4.12643532641156e-06,0.00259230404271411,18
"ENSG00000280304",5.17184218351677,4.40228308529098e-06,0.00268179081404862,18
"ENSG00000187800",2.00301896457806,7.69434108856798e-06,0.0044292499759874,18
"ENSG00000188613",0.729663974930492,7.71147337012183e-06,0.0044292499759874,18
"ENSG00000250312",0.595060173191551,8.28286894425623e-06,0.00462529206628842,18
"ENSG00000185664",3.26910645851403,9.1239529243675e-06,0.00495726555779892,18
"ENSG00000080007",2.57408128775,1.03389520476743e-05,0.00546957771090517,18
"ENSG00000276345",-4.75553635297801,1.13202366768129e-05,0.00583514661317871,18
"ENSG00000146122",0.823584134885761,1.23559401011144e-05,0.00610036390274113,18
"ENSG00000227836",-4.49279746433969,1.24416713929457e-05,0.00610036390274113,18
"ENSG00000225434",-2.73344252029864,1.28953661394586e-05,0.0061722748928937,18
"ENSG00000086619",-0.727489814247214,1.34464249591046e-05,0.00628636002215998,18
"ENSG00000013573",-1.23908736364565,1.50856115823759e-05,0.00681138367066395,18
"ENSG00000246430",1.2427912154327,1.52470907416743e-05,0.00681138367066395,18
"ENSG00000243802",-4.99924287069245,1.6265633059484e-05,0.00708118887254411,18
"ENSG00000240661",1.37948851258168,1.65555328562689e-05,0.00708118887254411,18
"ENSG00000138650",-3.07808572743314,1.97000400861693e-05,0.00825062303858876,18
"ENSG00000259134",5.80440042184051,2.05544082243619e-05,0.00843276058233361,18
"ENSG00000232859",-0.483970359763803,2.63284277745855e-05,0.0103366016511826,18
"ENSG00000277586",-2.05046604654,2.63362207293403e-05,0.0103366016511826,18
"ENSG00000170373",4.48243856257126,2.67374663414164e-05,0.0103366016511826,18
"ENSG00000205663",-4.77316826807982,2.81289992948525e-05,0.0106693825061211,18
"ENSG00000198074",-1.86009909975413,2.97042392211536e-05,0.0109626749599174,18
"ENSG00000273748",0.919187806813095,2.99928927421508e-05,0.0109626749599174,18
"ENSG00000196557",2.21100195475516,3.17621426299576e-05,0.0110200495400616,18
"ENSG00000046604",-2.23123232157533,3.18380456512471e-05,0.0110200495400616,18
"ENSG00000225308",4.43585083329248,3.22326677251116e-05,0.0110200495400616,18
"ENSG00000152779",2.6034223239456,3.23425818466714e-05,0.0110200495400616,18
"ENSG00000158715",0.985672974900164,3.41338604469702e-05,0.0114365499427574,18
"ENSG00000183762",-1.06197447144873,3.51397608784653e-05,0.0115805674252424,18
"ENSG00000145390",0.929363277695411,3.63797891733448e-05,0.0117958532540605,18
"ENSG00000103241",-3.90474826419389,4.16085511673879e-05,0.0132452232529352,18
"ENSG00000111057",1.44608357483388,4.21675515190695e-05,0.0132452232529352,18
"ENSG00000007933",2.01295273527227,4.33995773100484e-05,0.0134224877332908,18
"ENSG00000183077",0.493505818817265,4.86680391181907e-05,0.0148238422786816,18
"ENSG00000117069",-2.55792803505928,5.17932439261255e-05,0.0155281334836284,18
"ENSG00000036448",-1.31273744773815,5.35457994701763e-05,0.0155281334836284,18
"ENSG00000112379",-1.675348822845,5.39667193089775e-05,0.0155281334836284,18
"ENSG00000151640",-2.25382075415784,5.40700066584087e-05,0.0155281334836284,18
"ENSG00000142973",2.69297563390968,5.77527908195697e-05,0.0161803636277581,18
"ENSG00000227544",3.11691029955079,5.81010122527689e-05,0.0161803636277581,18
"ENSG00000137673",-2.77157177509194,5.87557352050111e-05,0.0161803636277581,18
"ENSG00000189056",1.6155711212119,6.1849368473988e-05,0.0168021331680078,18
"ENSG00000176857",4.37710720987782,6.36675986307726e-05,0.0169612505505661,18
"ENSG00000144619",4.49674659576838,6.41225211084425e-05,0.0169612505505661,18
"ENSG00000272279",2.06305051973023,6.62348532763191e-05,0.0172924578625174,18
"ENSG00000074181",0.797239701143803,6.9791121353406e-05,0.0179873193918913,18
"ENSG00000272398",-3.33909176932866,7.61156638918372e-05,0.0193690277369317,18
"ENSG00000121039",0.791004222920275,7.76876601426251e-05,0.0195219378980899,18
"ENSG00000173702",-3.99300484710313,7.91193751521487e-05,0.0196362567738722,18
"ENSG00000244921",4.03243124683989,8.10177243952895e-05,0.0198621867502257,18
"ENSG00000135480",1.25397500913784,8.51718773466023e-05,0.0204479473873984,18
"ENSG00000171055",0.509264671935108,8.54413560434496e-05,0.0204479473873984,18
"ENSG00000206538",0.697206155989478,8.99426444799917e-05,0.0211892673637678,18
"ENSG00000171345",1.63445292916812,9.12233358804241e-05,0.0211892673637678,18
"ENSG00000165300",-4.29299715753355,9.1701052611441e-05,0.0211892673637678,18
"ENSG00000088387",-0.370116395909501,9.41593964024315e-05,0.0213493602816084,18
"ENSG00000197747",0.673977695300168,9.45178861395387e-05,0.0213493602816084,18
"ENSG00000185633",1.15839778005823,9.67443183387237e-05,0.0213995801369802,18
"ENSG00000127329",1.31542768958292,9.68692131754067e-05,0.0213995801369802,18
"ENSG00000176435",1.83203193758272,0.000108197290494627,0.0236422840305814,18
"ENSG00000240563",3.44042314932876,0.000111169322019982,0.0240305040921258,18
"ENSG00000141639",-2.84394731862103,0.000115629970757601,0.0247288223631919,18
"ENSG00000081377",0.315429903225615,0.000119716492648365,0.0250087052775525,18
"ENSG00000137672",2.59712661835736,0.000120457135304614,0.0250087052775525,18
"ENSG00000215845",-2.4945782028631,0.000120670766150455,0.0250087052775525,18
"ENSG00000165084",2.21154114172016,0.000123480170085874,0.0253298148901665,18
"ENSG00000030419",0.739406795995928,0.000133952136709088,0.0272004020632606,18
"ENSG00000081052",1.40647339826348,0.000142799178547809,0.0287069188634661,18
"ENSG00000224114",4.47898505613259,0.00015265429958113,0.0303842513314797,18
"ENSG00000185760",-1.82530571920144,0.000156686682556932,0.0308811017592353,18
"ENSG00000184227",-1.96859031135873,0.000159593549598535,0.0311486323065956,18
"ENSG00000237070",5.21714658149568,0.000162173761163626,0.0313478761603113,18
"ENSG00000273079",2.41513767724983,0.000165205799448624,0.0316298303458637,18
"ENSG00000171084",-1.01593871907178,0.000175042110943608,0.0331754042429607,18
"ENSG00000134245",-2.50881637209641,0.000176579030691777,0.0331754042429607,18
"ENSG00000175040",0.678411636215942,0.000182358460515207,0.0339440012197889,18
"ENSG00000141837",-1.51877778285951,0.000184995111604647,0.0341188690696166,18
"ENSG00000165527",0.268163726089741,0.000192678231419886,0.035212822602127,18
"ENSG00000134762",-4.26225331151523,0.000195424327806764,0.0353929302873818,18
"ENSG00000163661",0.98069609394993,0.000207085933264448,0.0371700760394213,18
"ENSG00000184743",0.474644186829885,0.000227830097160445,0.0405315791435083,18
"ENSG00000125818",-0.255929903692131,0.000229927482729231,0.0405321368822449,18
"ENSG00000106511",2.39763088063533,0.000231865678826949,0.0405321368822449,18
"ENSG00000215548",-1.8959168047306,0.000237039815826038,0.0410676705507039,18
"ENSG00000148798",1.11157545844435,0.000239797719053247,0.0410676705507039,18
"ENSG00000154864",-1.57948490548175,0.000241057808535197,0.0410676705507039,18
"ENSG00000077092",1.30660411529905,0.00024450533037638,0.0413049635004737,18
"ENSG00000187123",1.3170068484198,0.000254877103074993,0.0426982866926382,18
"ENSG00000176928",0.756138032881237,0.000263881557762279,0.0438414128569842,18
"ENSG00000173376",1.60411396706841,0.00028509774302485,0.0469780321969554,18
"ENSG00000188215",0.39902778166563,0.000289314185754195,0.0472852282619234,18
"ENSG00000271605",0.9438046144262,0.000292671458176229,0.0474481800299737,18
"ENSG00000183935",0.750626692872936,0.000303046806235144,0.0487371995659608,18
